parameter_server-1  | [Parameter Server] Starting on port 12345
parameter_server-1  | EASGD initialized: α=0.010, β=0.001
parameter_server-1  | [Master] Elastic center initialized
parameter_server-1  | [Parameter Server] Elastic center initialized
parameter_server-1  | [Parameter Server] Server socket ready, waiting for workers...
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #1), starting timer
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 1.863ms
parameter_server-1  | [Parameter Server] Updated elastic center in 18.498ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 1.422ms
parameter_server-1  | [Parameter Server] Request #1 processing: 29.290ms total (recv=1.863ms, update=18.498ms, send=1.422ms)
parameter_server-1  | [Parameter Server] Communication: 11.2%, Computation: 63.2%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #2), starting timer
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 8.479ms
parameter_server-1  | [Parameter Server] Updated elastic center in 9.806ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 3.017ms
parameter_server-1  | [Parameter Server] Request #2 processing: 23.768ms total (recv=8.479ms, update=9.806ms, send=3.017ms)
parameter_server-1  | [Parameter Server] Communication: 48.4%, Computation: 41.3%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Starting, server: 172.31.0.10:12345
worker2-1           | [Worker 2] Loading MNIST data...
worker2-1           | [Worker 2] Processing images 30000 to 59999 (30000 total)
worker2-1           | EASGD initialized: α=0.010, β=0.001
worker2-1           | [Worker 2] Network initialized with EASGD: α=0.1, β=0.01
worker2-1           | [Worker 2] Starting epoch 1
worker2-1           | [Worker 2] Sent 238200 weights in 8.377ms
worker2-1           | [Worker 2] Received 238200 center weights in 3.981ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #1 completed in 41.207ms (total), comm overhead: 9.7%
worker2-1           | [Worker 2] After 1000 images: accuracy=83.60%
worker2-1           | [Worker 2] After 1000 images: avg_loss=0.425867
worker1-1           | [Worker 1] Starting, server: 172.31.0.10:12345
worker1-1           | [Worker 1] Loading MNIST data...
worker1-1           | [Worker 1] Processing images 0 to 29999 (30000 total)
worker1-1           | EASGD initialized: α=0.010, β=0.001
worker1-1           | [Worker 1] Network initialized with EASGD: α=0.1, β=0.01
worker1-1           | [Worker 1] Starting epoch 1
worker1-1           | [Worker 1] Sent 238200 weights in 1.730ms
worker1-1           | [Worker 1] Received 238200 center weights in 3.171ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #1 completed in 47.219ms (total), comm overhead: 6.7%
worker1-1           | [Worker 1] After 1000 images: accuracy=73.90%
worker1-1           | [Worker 1] After 1000 images: avg_loss=0.384303
parameter_server-1  | [Parameter Server] Worker connected (request #3), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 2.021ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 1.901ms
parameter_server-1  | [Parameter Server] Updated elastic center in 12.627ms
worker1-1           | [Worker 1] Received 238200 center weights in 3.187ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 2.520ms
parameter_server-1  | [Parameter Server] Request #3 processing: 22.404ms total (recv=1.901ms, update=12.627ms, send=2.520ms)
parameter_server-1  | [Parameter Server] Communication: 19.7%, Computation: 56.4%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #4), starting timer
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #2 completed in 38.980ms (total), comm overhead: 8.2%
worker2-1           | [Worker 2] Sent 238200 weights in 7.780ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 12.208ms
parameter_server-1  | [Parameter Server] Updated elastic center in 13.825ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 7.123ms
