master-1  | [MASTER] Starting on port 12345
master-1  | Allowed CPU cores: 0 1 2 3 
master-1  | [master] Allowed CPU cores: 4
slaver-1  | Allowed CPU cores: 4 5 6 7 
slaver-1  | [slaver] Allowed CPU cores: 4
slaver-1  | [SLAVER] Connecting to 172.31.0.2:12345
slaver-1  | Allowed CPU cores: 4 5 6 7 
slaver-1  | [slaver] Allowed CPU cores: 4
slaver-1  | [SLAVER] Connecting to 172.31.0.2:12345
master-1  | [Master] Server started. Waiting for connection...
master-1  | [Master] Connection accepted.
master-1  | [Master] Slaver has 4 cores
master-1  | [Master] Processing images from 0 to 30000
slaver-1  | [Slaver] Connected to master.
slaver-1  | [Slaver] Processing images from 30000 to 60000
slaver-1  | [Slaver] Connected to master.
slaver-1  | [Slaver] Processing images from 30000 to 60000
master-1  | *** Average loss after 0 images: 4.432784 ***
slaver-1  | *** Average loss after 30000 images: 2.657931 ***
slaver-1  | *** Average loss after 30000 images: 2.657931 ***
slaver-1  | *** After 30000 images: 10.70% accuracy ***
slaver-1  | *** After 30000 images: 10.70% accuracy ***
master-1  | *** After 0 images: 8.70% accuracy ***
slaver-1  | [Slaver] Sent weights to master at img 30499
slaver-1  | [Slaver] Sent weights to master at img 30499
master-1  | [Master] Received weights from slaver at img 499
master-1  | [Master] Sent averaged weights to slaver
master-1  | [Master] recv: 0.004256, averaging: 0.001797, send: 0.004423 seconds at img 499
master-1  | [Master] total sync took 0.017615 seconds at img 499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.952215, recv: 0.007572 seconds at img 30499
slaver-1  | [Slaver] total sync took 0.962817 seconds at img 30499
slaver-1  | [Slaver] Received updated weights from master
slaver-1  | [Slaver] send: 0.952215, recv: 0.007572 seconds at img 30499
slaver-1  | [Slaver] total sync took 0.962817 seconds at img 30499
slaver-1  | [Slaver] Sent weights to master at img 30999
slaver-1  | [Slaver] Sent weights to master at img 30999
master-1  | [Master] Received weights from slaver at img 999
slaver-1  | [Slaver] Received updated weights from master
